name	writer
隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた	荒三水
転生者の私に挑んでくる無謀で有望な少女の話	小東のら
現代社会で乙女ゲームの悪役令嬢をするのはちょっと大変	二日市とふろう (旧名:北部九州在住)
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件【web版】	雲雀湯
モテない陰キャ平社員の俺はミリオンセラー書籍化作家であることを隠したい！　～転勤先の事務所の美女3人がＷＥＢ作家で俺の大ファンらしく、俺に抱かれてもいいらしい、マジムリヤバイ！〜	鉄人じゅす
戦地から帰ってきたタカシ君。普通に高校生活を送りたい	安い芸
【Web版】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです	結石
『書籍化！』百合ゲー世界なのに男の俺がヒロイン姉妹を幸せにしてしまうまで	流石ユユシタ
【WEB版】高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました	サケ/坂石遊作
【連載版】「オタクはキモいから無理」と恋人に浮気され振られた夜、オタクに優しいギャルと付き合うことになった〜実は優良物件だったと今更気づいても遅い、清楚系美人となった趣味の合う元ギャルとラブラブです	茨木野
【書籍化】幼馴染彼女のモラハラがひどいんで絶縁宣言してやった	斧名田マニマニ
学校では地味な陰キャとバカにされている俺は実はボディーガード　〜地味に生きたいのに、以前助けた有名人の幼馴染が離してくれない〜	木嶋隆太
お前みたいなヒロインがいてたまるか！	白猫
ホラー女優が天才子役に転生しました　～今度こそハリウッドを目指します！～	鉄箱
【web版】会話もしない連れ子の妹が、長年一緒にバカやってきたネトゲのフレだった	雲雀湯
幼馴染も義妹も……誰も俺を信じてくれなかった。今さら信じているなんて言われても、もう手遅れです	野良うさぎ(うさこ)
【書籍版発売中】S級学園の自称「普通」、可愛すぎる彼女たちにグイグイ来られてバレバレです。	丸山ひま。
転生リベンジ芸能人ライフ～不遇だったアイドルオタクな青年、謎の死を遂げた推しアイドル少女の命を救うため、二度目の人生で芸能界へ飛び込む～	ハーーナ殿下
手塩にかけて育てたアイドルたちに裏切られた俺は、自殺しようとしていた元人気アイドルのプロデューサーになる	とによ
友人キャラの俺がモテまくるわけないだろ？	【世界一】とにかく可愛い超巨乳美少女ＪＫ郷家愛花２４歳【可愛い】
ラブコメ漫画に入ってしまったので、推しの負けヒロインを全力で幸せにする	shiryu
霜月さんはモブが好き	八神鏡@『霜月さんはモブが好き』コミカライズ＆4巻発売中！
【本編完結済み・書籍化】世界一かわいい俺の幼馴染が、今日も可愛い	青季 ふゆ
【3巻10/25発売】月50万もらっても生き甲斐のない隣のお姉さんに30万で雇われて「おかえり」って言うお仕事が楽しい【書籍化＆コミカライズ】	黄波戸井ショウリ
冤罪で大切な人達に傷付けられた少年、無実の罪だと分かった後に謝られても絶対に許さない	リョウタ
君のせいで今日も死ねない	飴月
【書籍化】陰キャだった俺の青春リベンジ 天使すぎるあの娘と歩むReライフ	慶野由志
【完結】高校生に戻った俺、両想いだったはずの幼馴染に振られたので、学校一の美少女と心中してみた	【世界一】とにかく可愛い超巨乳美少女ＪＫ郷家愛花２４歳【可愛い】
センパイ、自宅警備員の雇用はいかがですか？【4月20日 二巻発売予定】	二上圭＠じたこよ三巻、１１月発売。
幼馴染がカースト上位に君臨している	Cost
時々ボソッとロシア語でデレる隣のアーリャさん	燦々SUN
【書籍化】尽くしたがりなうちの嫁についてデレてもいいか？	斧名田マニマニ
【Web版】麗子の風儀～悪役令嬢と呼ばれましたが、ただの貧乏娘です～	ベキオ
【Web版】人脈チートで成り上がる地下アイドルプロデュース〜ビラ配りしていた売れない地下アイドルの人生変えてみた〜【コミカライズ】	津ヶ谷
痴漢冤罪で捕まったクラスの王子を、俺ひとりだけ信じ続けたら、王子が姫になった	スカイ・ノーレッジ
ヘルモード　～やり込み好きのゲーマーは廃設定の異世界で無双する～	ハム男
とんでもスキルで異世界放浪メシ	江口　連
無職転生　- 異世界行ったら本気だす -	理不尽な孫の手
【アニメ放送中！】陰の実力者になりたくて！【web版】	逢沢大介
お気楽領主の楽しい領地防衛  〜生産系魔術で名もなき村を最強の城塞都市に〜	赤池宗
大ハズレだと追放された転生重騎士はゲーム知識で無双する	猫子
一億年ボタンを連打した俺は、気付いたら最強になっていた～落第剣士の学院無双～	月島 秀一
限界超えの天賦《スキル》は、転生者にしか扱えない　ー　オーバーリミット・スキルホルダー	三上康明
魔術師クノンは見えている	南野海風
俺は全てを【パリイ】する　〜逆勘違いの世界最強は冒険者になりたい〜	鍋敷
本好きの下剋上　～司書になるためには手段を選んでいられません～	香月　美夜
異世界のんびり農家	内藤騎之介
転生して田舎でスローライフをおくりたい	錬金王
蜘蛛ですが、なにか？	馬場翁
ありふれた職業で世界最強	厨二好き/白米良
【連載版】信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル９９９９の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！	明鏡シスイ
最強出涸らし皇子の暗躍帝位争い～帝位に興味ないですが、死ぬのは嫌なので弟を皇帝にしようと思います～	タンバ
転生したらスライムだった件	伏瀬
ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで	篠崎芳
貴族転生～恵まれた生まれから最強の力を得る	三木なずな
デスマーチからはじまる異世界狂想曲（ web版 ）	愛七ひろ
元・世界１位のサブキャラ育成日記 ～廃プレイヤー、異世界を攻略中！～	沢村治太郎(合成酵素)
五年間働いていた治療師ギルドを不当解雇された“最弱”な俺。生きるために超有能スキルで‟最強”を目指します	岡本剛也
【Web版】町人Aは悪役令嬢をどうしても救いたい【後日談のみ連載中】	一色孝太郎
水属性の魔法使い	久宝　忠
神達に拾われた男（改訂版）	Roy
没落予定の貴族だけど、暇だったから魔法を極めてみた	三木なずな
私、能力は平均値でって言ったよね！	FUNA
おい、外れスキルだと思われていた《チートコード操作》が化け物すぎるんだが。　〜実家を追放され、世間からも無能と蔑まれていたが、幼馴染の皇女からめちゃくちゃ溺愛されるうえにスローライフが楽しすぎる〜	どまどま@チートコード操作　書籍化&amp;コミカライズ
Ｒｅ：ゼロから始める異世界生活	鼠色猫/長月達平
【本編完結】信者ゼロの女神サマと始める異世界攻略	大崎 アイル
追放されたお荷物テイマー、世界唯一のネクロマンサーに覚醒する　〜ありあまるその力で自由を謳歌していたらいつの間にか最強に〜	すかいふぁーむ
黒鳶の聖者　〜追放された回復術士は、有り余る魔力で闇魔法を極める〜	まさみティー
異世界のんびり素材採取生活	錬金王
落ちこぼれ国を出る〜実は世界で４人目の付与術師だった件について〜	御影　雫
万能「村づくり」チートでお手軽スローライフ　～村ですが何か？～	九頭七尾
転生貴族の異世界冒険録～自重を知らない神々の使徒～【アニメ化決定】	夜州
世界最強の努力家　〜才能が【努力】だったので効率良く規格外の努力をしてみる〜	蒼乃白兎
八男って、それはないでしょう！　	Ｙ．Ａ
【WEB版】王都の外れの錬金術師 ～ハズレ職業だったので、のんびりお店経営します～【書籍化、コミカライズ】	yocco
片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～	佐賀崎しげる
嘆きの亡霊は引退したい　〜最弱ハンターは英雄の夢を見る〜【Web版】	槻影
一瞬で治療していたのに、何もしてないとパーティを追放された天才治癒師～今さら戻ってこいと言われても、闇ヒーラーとして楽しくやっているので治療は高額になるけどおたくら払えますか？～	ひかさく＠菱川さかく
くまクマ熊ベアー	くまなの
【Web版】転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～	未来人A
魔王と勇者の戦いの裏で　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～	涼樹悠樹
転生したら剣でした	棚架ユウ
異世界迷宮で奴隷ハーレムを	蘇我捨恥
そのおっさん、異世界で二周目プレイを満喫中	月夜　涙（るい）
