title	writer	genre	url
転生先で捨てられたので、もふもふ達とお料理します　　　～お飾り王妃はマイペースに最強です～	桜井 悠	異世界(恋愛)	https://ncode.syosetu.com/N7295FL
【コミカライズ・書籍化】ななしの皇女と冷酷皇帝 ～虐げられた幼女、今世では龍ともふもふに溺愛されています～	藍上イオタ	異世界(恋愛)	https://ncode.syosetu.com/N0219GQ
悪虐聖女ですが、愛する旦那さまのお役に立ちたいです。（とはいえ、嫌われているのですが）	雨川 透子	異世界(恋愛)	https://ncode.syosetu.com/N6592HI
後悔するならご勝手に～あなたの選んだ聖女様とどうぞお幸せに～	桜井ゆきな	異世界(恋愛)	https://ncode.syosetu.com/N3941HS
【2巻10/4】嫌われ妻は、英雄将軍と離婚したい！いきなり帰ってきて溺愛なんて信じません。	柊 一葉	異世界(恋愛)	https://ncode.syosetu.com/N0891GG
【コミカライズ】女神様がやっちまいなとの思し召しです	まゆらん	異世界(恋愛)	https://ncode.syosetu.com/N0585HM
聖女が来るから君を愛することはないと言われたのでお飾り王妃に徹していたら、夫と聖女の様子がおかしいのですが	宮之みやこ＠「5歳聖女」3/10発売	異世界(恋愛)	https://ncode.syosetu.com/N0353HO
家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら	琴子	異世界(恋愛)	https://ncode.syosetu.com/N8020GN
謙虚、堅実をモットーに生きております！	ひよこのケーキ	現実世界(恋愛)	https://ncode.syosetu.com/N4029BS
 お隣の天使様にいつの間にか駄目人間にされていた件	佐伯さん	現実世界(恋愛)	https://ncode.syosetu.com/N8440FE
お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について【第六巻　スニーカー文庫より12／28発売！】	桜木桜	現実世界(恋愛)	https://ncode.syosetu.com/N5135GG
【web版】クラスで陰キャの俺が実は大人気バンドのボーカルな件	夜桜ユノ【『クラスで陰キャ』コミック発売しました！】	現実世界(恋愛)	https://ncode.syosetu.com/N4814FW
俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです	御堂ユラギ	現実世界(恋愛)	https://ncode.syosetu.com/N7981GJ
【書籍化】有名Vtuberの兄だけど、義妹が配信切り忘れたら、なぜか俺が有名になった～陰キャだからと振られた俺が、超人気ブラコン妹の兄として注目され、期待の新人Vとしてデビューするけど今更なんですか？	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N1726HU
【WEB版】高校生WEB作家のモテ生活 「あんたが神作家なわけないでしょ」と僕を振った幼馴染が後悔してるけどもう遅い【書籍版好評発売中！】	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N5038GY
日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	アサヒ	現実世界(恋愛)	https://ncode.syosetu.com/N1456GM
風間君の嘘は彼女達にはバレバレです　～入れ替わりは元に戻ってからがラブコメです！～	まきま	現実世界(恋愛)	https://ncode.syosetu.com/N8023GV
【書籍化】窓際編集とバカにされ、妻に浮気されたその日から、双子JKと同居することになった〜新しい職場と美少女達が家で待つ幸せな新生活を送ってるので、今更有能編集だったと気付いて謝られても相手にしません	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N1202HF
ネトゲの嫁が人気アイドルだった件　～クール系の彼女は現実でも嫁のつもりでいる～	あボーン	現実世界(恋愛)	https://ncode.syosetu.com/N5946GI
夢見る男子は現実主義者	おけまる	現実世界(恋愛)	https://ncode.syosetu.com/N2166FE
実家に帰ったら甘やかされ生活が始まりました	月夜乃 古狸	現実世界(恋愛)	https://ncode.syosetu.com/N7070GZ
【12/1発売】俺は知らないうちに学校一の美少女を口説いていたらしい〜バイト先の相談相手に俺の想い人の話をすると彼女はなぜか照れ始める〜	午前の緑茶	現実世界(恋愛)	https://ncode.syosetu.com/N9850GC
転生先が現代日本人ってふざけんなっ！ って思ったけどそれが普通だし案外充実してる	せん	現実世界(恋愛)	https://ncode.syosetu.com/N1144GO
隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた	荒三水	現実世界(恋愛)	https://ncode.syosetu.com/N0672FO
転生者の私に挑んでくる無謀で有望な少女の話	小東のら	現実世界(恋愛)	https://ncode.syosetu.com/N8273DS
現代社会で乙女ゲームの悪役令嬢をするのはちょっと大変	二日市とふろう (旧名:北部九州在住)	現実世界(恋愛)	https://ncode.syosetu.com/N3297EU
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件【web版】	雲雀湯	現実世界(恋愛)	https://ncode.syosetu.com/N5869GH
モテない陰キャ平社員の俺はミリオンセラー書籍化作家であることを隠したい！　～転勤先の事務所の美女3人がＷＥＢ作家で俺の大ファンらしく、俺に抱かれてもいいらしい、マジムリヤバイ！〜	鉄人じゅす	現実世界(恋愛)	https://ncode.syosetu.com/N4051GW
戦地から帰ってきたタカシ君。普通に高校生活を送りたい	安い芸	現実世界(恋愛)	https://ncode.syosetu.com/N3852HD
【Web版】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです	結石	現実世界(恋愛)	https://ncode.syosetu.com/N6526GB
『書籍化！』百合ゲー世界なのに男の俺がヒロイン姉妹を幸せにしてしまうまで	流石ユユシタ	現実世界(恋愛)	https://ncode.syosetu.com/N7310GT
【WEB版】高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました	サケ/坂石遊作	現実世界(恋愛)	https://ncode.syosetu.com/N0955GD
【連載版】「オタクはキモいから無理」と恋人に浮気され振られた夜、オタクに優しいギャルと付き合うことになった〜実は優良物件だったと今更気づいても遅い、清楚系美人となった趣味の合う元ギャルとラブラブです	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N3918HK
【書籍化】幼馴染彼女のモラハラがひどいんで絶縁宣言してやった	斧名田マニマニ	現実世界(恋愛)	https://ncode.syosetu.com/N0844GB
学校では地味な陰キャとバカにされている俺は実はボディーガード　〜地味に生きたいのに、以前助けた有名人の幼馴染が離してくれない〜	木嶋隆太	現実世界(恋愛)	https://ncode.syosetu.com/N0654GG
お前みたいなヒロインがいてたまるか！	白猫	現実世界(恋愛)	https://ncode.syosetu.com/N3059CH
ホラー女優が天才子役に転生しました　～今度こそハリウッドを目指します！～	鉄箱	現実世界(恋愛)	https://ncode.syosetu.com/N0230FU
【web版】会話もしない連れ子の妹が、長年一緒にバカやってきたネトゲのフレだった	雲雀湯	現実世界(恋愛)	https://ncode.syosetu.com/N7418FR
幼馴染も義妹も……誰も俺を信じてくれなかった。今さら信じているなんて言われても、もう手遅れです	野良うさぎ(うさこ)	現実世界(恋愛)	https://ncode.syosetu.com/N7553GP
【書籍版発売中】S級学園の自称「普通」、可愛すぎる彼女たちにグイグイ来られてバレバレです。	丸山ひま。	現実世界(恋愛)	https://ncode.syosetu.com/N2678GB
転生リベンジ芸能人ライフ～不遇だったアイドルオタクな青年、謎の死を遂げた推しアイドル少女の命を救うため、二度目の人生で芸能界へ飛び込む～	ハーーナ殿下	現実世界(恋愛)	https://ncode.syosetu.com/N5160GU
手塩にかけて育てたアイドルたちに裏切られた俺は、自殺しようとしていた元人気アイドルのプロデューサーになる	とによ	現実世界(恋愛)	https://ncode.syosetu.com/N0300GT
友人キャラの俺がモテまくるわけないだろ？	【世界一】とにかく可愛い超巨乳美少女ＪＫ郷家愛花２４歳【可愛い】	現実世界(恋愛)	https://ncode.syosetu.com/N4634ET
ラブコメ漫画に入ってしまったので、推しの負けヒロインを全力で幸せにする	shiryu	現実世界(恋愛)	https://ncode.syosetu.com/N9748GS
霜月さんはモブが好き	八神鏡@『霜月さんはモブが好き』コミカライズ＆4巻発売中！	現実世界(恋愛)	https://ncode.syosetu.com/N8856GP
【本編完結済み・書籍化】世界一かわいい俺の幼馴染が、今日も可愛い	青季 ふゆ	現実世界(恋愛)	https://ncode.syosetu.com/N5894GB
【3巻10/25発売】月50万もらっても生き甲斐のない隣のお姉さんに30万で雇われて「おかえり」って言うお仕事が楽しい【書籍化＆コミカライズ】	黄波戸井ショウリ	現実世界(恋愛)	https://ncode.syosetu.com/N2747FO
冤罪で大切な人達に傷付けられた少年、無実の罪だと分かった後に謝られても絶対に許さない	リョウタ	現実世界(恋愛)	https://ncode.syosetu.com/N7151HT
君のせいで今日も死ねない	飴月	現実世界(恋愛)	https://ncode.syosetu.com/N2285GQ
【書籍化】陰キャだった俺の青春リベンジ 天使すぎるあの娘と歩むReライフ	慶野由志	現実世界(恋愛)	https://ncode.syosetu.com/N9003GQ
【完結】高校生に戻った俺、両想いだったはずの幼馴染に振られたので、学校一の美少女と心中してみた	【世界一】とにかく可愛い超巨乳美少女ＪＫ郷家愛花２４歳【可愛い】	現実世界(恋愛)	https://ncode.syosetu.com/N8793HD
センパイ、自宅警備員の雇用はいかがですか？【4月20日 二巻発売予定】	二上圭＠じたこよ三巻、１１月発売。	現実世界(恋愛)	https://ncode.syosetu.com/N2939GU
幼馴染がカースト上位に君臨している	Cost	現実世界(恋愛)	https://ncode.syosetu.com/N6684GL
時々ボソッとロシア語でデレる隣のアーリャさん	燦々SUN	現実世界(恋愛)	https://ncode.syosetu.com/N2778GF
【書籍化】尽くしたがりなうちの嫁についてデレてもいいか？	斧名田マニマニ	現実世界(恋愛)	https://ncode.syosetu.com/N7258FZ
【Web版】麗子の風儀～悪役令嬢と呼ばれましたが、ただの貧乏娘です～	ベキオ	現実世界(恋愛)	https://ncode.syosetu.com/N9183FJ
【Web版】人脈チートで成り上がる地下アイドルプロデュース〜ビラ配りしていた売れない地下アイドルの人生変えてみた〜【コミカライズ】	津ヶ谷	現実世界(恋愛)	https://ncode.syosetu.com/N5325GX
痴漢冤罪で捕まったクラスの王子を、俺ひとりだけ信じ続けたら、王子が姫になった	スカイ・ノーレッジ	現実世界(恋愛)	https://ncode.syosetu.com/N3666HI
ヘルモード　～やり込み好きのゲーマーは廃設定の異世界で無双する～	ハム男	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N3669FW
とんでもスキルで異世界放浪メシ	江口　連	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2710DB
無職転生　- 異世界行ったら本気だす -	理不尽な孫の手	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9669BK
【アニメ放送中！】陰の実力者になりたくて！【web版】	逢沢大介	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N0611EM
お気楽領主の楽しい領地防衛  〜生産系魔術で名もなき村を最強の城塞都市に〜	赤池宗	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N8733GF
大ハズレだと追放された転生重騎士はゲーム知識で無双する	猫子	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N8465GX
一億年ボタンを連打した俺は、気付いたら最強になっていた～落第剣士の学院無双～	月島 秀一	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1474FH
